
> rae-reputation-arbitrage-engine@0.1.0 sensitivity:replacement
> tsx scripts/replacement-sensitivity.ts

# Replacement-level sensitivity sweep
# generated 2026-08-20T13:51:45.976Z
# baseline: depthCushion=1.2 superflexQbOccupancy=1
# pool: 230 players (QB40 RB70 WR90 TE30)

## 1. Replacement rank by cushion (all league shapes)

shape                  cushion   QB   RB   WR   TE
8T HALF 1QB            1.30    0.0175         1           1           8
8T HALF 1QB            1.40    0.0293         1           1          15
8T HALF SFLEX          1.00    0.0315         0           1          20
8T HALF SFLEX          1.10    0.0204         0           1          12
8T HALF SFLEX          1.30    0.0115         0           0          10
8T HALF SFLEX          1.40    0.0156         0           0          15
8T HALF 2QB            1.00    0.0315         0           1          20
8T HALF 2QB            1.10    0.0204         0           1          12
8T HALF 2QB            1.30    0.0115         0           0          10
8T HALF 2QB            1.40    0.0156         0           0          15
8T HALF 2TE            1.00    0.0249         0           1          20
8T HALF 2TE            1.10    0.0125         0           1          10
8T HALF 2TE            1.30    0.0143         0           1           8
8T HALF 2TE            1.40    0.0165         0           0          12
8T HALF noK            1.00    0.0423         1           1          20
8T HALF noK            1.10    0.0249         1           1          12
8T HALF noK            1.30    0.0175         1           1           8
8T HALF noK            1.40    0.0293         1           1          15
8T HALF 0FLEX          1.00    0.0317         0           0          20
8T HALF 0FLEX          1.10    0.0128         0           0          10
8T HALF 0FLEX          1.30    0.0183         0           0          10
8T HALF 0FLEX          1.40    0.0242         0           0          14
8T HALF 3FLEX          1.00    0.0392         0           0          20
8T HALF 3FLEX          1.10    0.0186         0           0          10
8T HALF 3FLEX          1.30    0.0224         0           1           9
8T HALF 3FLEX          1.40    0.0286         0           1          15
8T PPR 1QB             1.00    0.0423         1           1          20
8T PPR 1QB             1.10    0.0249         1           1          12
8T PPR 1QB             1.30    0.0175         1           1           8
8T PPR 1QB             1.40    0.0293         1           1          15
8T PPR SFLEX           1.00    0.0315         0           1          20
8T PPR SFLEX           1.10    0.0204         0           1          12
8T PPR SFLEX           1.30    0.0115         0           0          10
8T PPR SFLEX           1.40    0.0156         0           0          15
8T PPR 2QB             1.00    0.0315         0           1          20
8T PPR 2QB             1.10    0.0204         0           1          12
8T PPR 2QB             1.30    0.0115         0           0          10
8T PPR 2QB             1.40    0.0156         0           0          15
8T PPR 2TE             1.00    0.0249         0           1          20
8T PPR 2TE             1.10    0.0125         0           1          10
8T PPR 2TE             1.30    0.0143         0           1           8
8T PPR 2TE             1.40    0.0165         0           0          12
8T PPR noK             1.00    0.0423         1           1          20
8T PPR noK             1.10    0.0249         1           1          12
8T PPR noK             1.30    0.0175         1           1           8
8T PPR noK             1.40    0.0293         1           1          15
8T PPR 0FLEX           1.00    0.0317         0           0          20
8T PPR 0FLEX           1.10    0.0128         0           0          10
8T PPR 0FLEX           1.30    0.0183         0           0          10
8T PPR 0FLEX           1.40    0.0242         0           0          14
8T PPR 3FLEX           1.00    0.0392         0           0          20
8T PPR 3FLEX           1.10    0.0186         0           0          10
8T PPR 3FLEX           1.30    0.0224         0           1           9
8T PPR 3FLEX           1.40    0.0286         0           1          15
8T PPR redraft         1.00    0.0423         1           1          20
8T PPR redraft         1.10    0.0249         1           1          12
